date,source,medium,delivery_available,device_type,promo_activated,filter_used,pageviews,visits,productClick,addToCart,checkout,transactions,revenue,ad spend
2020-05-11,google,organic,no data,PC,no,no,4087,1233,5240,1048,672,90,"₱456,877","₱384,039"
2020-05-11,facebook,cpc,no data,mobile,yes,no,4326,544,9930,1984,1812.48,217,"₱1,289,066","₱817,514"
2020-05-11,google,cpc,no data,mobile,no,no,3891,1450,5460,1090,766.72,100,"₱554,427","₱435,105"
2020-05-11,google,cpc,no data,PC,no,no,2456,854,4250,848,520.96,71,"₱416,561","₱635,599"
2020-05-11,facebook,organic,no data,PC,no,no,2828,1000,4110,824,449.28,62,"₱326,176","₱428,962"
2020-05-11,facebook,cpc,no data,PC,no,no,3635,1441,5990,1196,702.72,76,"₱479,091","₱743,316"
2020-05-11,facebook,organic,no data,mobile,no,no,4082,1395,4950,990,899.84,112,"₱585,336","₱162,241"
2020-05-11,facebook,cpc,no data,mobile,no,no,5049,1842,7310,1462,1168.64,150,"₱887,911","₱299,249"
2020-05-11,facebook,cpc,no data,PC,yes,no,3689,510,8450,1688,1214.72,170,"₱988,383","₱162,954"
2020-05-11,(direct),(none),no data,PC,yes,no,1551,324,2710,542,344.32,54,"₱357,749","₱309,364"
2020-05-11,tiktok,cpa,no data,PC,no,no,1835,677,320,64,46.08,6,"₱39,424","₱369,185"
2020-05-11,google,organic,no data,PC,yes,no,3912,385,8640,1728,1154.56,147,"₱893,759","₱500,852"
2020-03-26,(direct),(none),yes,mobile,yes,no,293,16,520,104,102.4,14,"₱76,391","₱301,396"
2020-03-26,(direct),(none),no data,mobile,yes,no,2507,377,5220,1044,920.32,95,"₱516,221","₱391,727"
2020-03-26,(direct),(none),no data,mobile,no,no,3051,1491,2130,426,281.6,37,"₱180,348","₱856,248"
2020-03-26,google,organic,no data,mobile,yes,no,6237,794,11890,2378,2204.16,278,"₱1,406,743","₱357,920"
2020-03-26,tiktok,cpa,no data,mobile,yes,no,1191,172,2080,416,394.24,39,"₱198,745","₱515,166"
2020-03-26,google,organic,no data,PC,no,no,4454,1471,6100,1218,661.76,111,"₱669,404","₱343,758"
2020-03-26,facebook,cpc,no data,mobile,no,no,3521,1497,4800,960,696.32,67,"₱416,904","₱133,224"
2020-03-26,google,organic,no data,mobile,no,no,6533,2549,6790,1358,1053.44,133,"₱683,641","₱155,621"
2020-03-26,facebook,organic,no data,mobile,no,no,4090,1447,5220,1046,733.44,102,"₱524,984","₱696,891"
2020-03-26,google,cpc,no data,mobile,yes,no,4212,577,10610,2124,1505.28,187,"₱968,284","₱635,189"
2020-03-26,facebook,organic,no data,PC,no,no,2710,1079,3510,702,369.92,54,"₱303,440","₱426,447"
2020-03-26,(direct),(none),no data,PC,no,no,2004,793,1850,368,508.16,40,"₱277,599","₱323,827"
2020-03-26,facebook,cpc,no data,PC,no,no,3583,1455,4920,982,483.84,78,"₱549,835","₱859,617"
2020-03-26,google,cpc,no data,PC,no,no,2143,854,3420,684,305.92,43,"₱343,265","₱506,944"
2020-03-26,facebook,organic,no data,PC,yes,no,3614,394,8030,1606,1066.24,166,"₱892,515","₱116,440"
2020-03-26,google,organic,no data,PC,yes,yes,790,46,1450,288,171.52,26,"₱158,387","₱103,013"
2020-03-26,google,cpc,no data,mobile,no,no,3154,1438,3900,780,518.4,56,"₱321,283","₱686,476"
2020-09-23,google,cpc,no data,mobile,yes,no,5134,658,3730,746,976.64,38,"₱244,238","₱630,602"
2020-09-23,facebook,organic,no data,mobile,no,no,6469,1215,2990,598,1187.84,62,"₱293,480","₱842,991"
2020-09-23,(direct),(none),no data,mobile,no,no,4606,1408,1190,236,305.92,26,"₱114,940","₱525,247"
