Customer ID,Customer Segment,Total Revenue,Product ID,Product Category,Product Name,Purchase Date,Order ID,Quantity Purchased,Price Per Unit,Total Purchase Amount,Associated Products,Upsell Product ID,Promotion Used,Channel of Purchase,Repeat Purchase Indicator,Feedback Score,CLV,Cross-Sell Success,
C001,VIP,$5400,P101,Electronics,Smartwatch,11/10/2024,O1001,1,$250,$250,P102 P103,P201,Yes,Online,Yes,4.5,$2500,Yes,
C002,Regular,$1400,P102,Accessories,Phone Case,11/11/2024,O1002,2,$20,$40,P101 P104,N/A,No,In-Store,No,4,$1200,No,
C003,Business,$7000,P105,Furniture,Office Chair,11/12/2024,O1003,5,$150,$750,P106,P205,Yes,Mobile App,Yes,4.8,$5000,Yes,
C004,Individual,$900,P106,Furniture,Desk Lamp,11/13/2024,O1004,1,$35,$35,P105 P107,N/A,No,Online,No,4.3,$800,No,
C005,VIP,$3800,P201,Electronics,Headphones,11/14/2024,O1005,1,$180,$180,P202 P203,N/A,Yes,In-Store,Yes,4.7,$3100,Yes,
C006,Regular,$1200,P107,Home Appliances,Blender,11/15/2024,O1006,1,$60,$60,P108 P109,N/A,No,Online,No,4,$1000,No,
C007,Business,$8500,P202,Electronics,Projector,11/16/2024,O1007,1,$700,$700,P203 P204,P301,Yes,In-Store,Yes,4.9,$6000,Yes,
C008,Individual,$950,P103,Accessories,Laptop Case,11/17/2024,O1008,1,$50,$50,P102 P104,N/A,No,Mobile App,No,3.8,$850,No,
C009,VIP,$6300,P203,Electronics,Bluetooth Speaker,11/18/2024,O1009,2,$120,$240,P202 P206,P304,Yes,Online,Yes,4.6,$4200,Yes,
C010,Regular,$1500,P104,Accessories,Phone Charger,11/19/2024,O1010,3,$15,$45,P103 P102,N/A,No,In-Store,No,3.9,$1100,No,
C011,Business,$10200,P204,Furniture,Standing Desk,11/20/2024,O1011,2,$500,$1000,P105 P106,P302,Yes,Mobile App,Yes,4.9,$7500,Yes,
C012,Individual,$850,P205,Home Appliances,Toaster,11/21/2024,O1012,1,$40,$40,P206,N/A,No,Online,No,4.2,$800,No,
C013,VIP,$4600,P206,Electronics,Soundbar,11/22/2024,O1013,1,$200,$200,P203 P207,N/A,Yes,In-Store,Yes,4.5,$3500,Yes,
C014,Regular,$1300,P207,Accessories,Wireless Mouse,11/23/2024,O1014,2,$25,$50,P103 P102,N/A,No,Mobile App,No,4,$1000,No,
C015,Business,$9400,P301,Electronics,High-Res Monitor,11/24/2024,O1015,1,$800,$800,P302 P303,P404,Yes,Online,Yes,4.8,$8200,Yes,
C016,Individual,$1100,P208,Home Appliances,Coffee Maker,11/25/2024,O1016,1,$100,$100,P209,N/A,No,In-Store,Yes,4.4,$950,No,
C017,VIP,$6700,P302,Furniture,Adjustable Desk,11/26/2024,O1017,1,$400,$400,P301 P304,N/A,Yes,Mobile App,Yes,4.7,$5400,Yes,
C018,Regular,$1000,P209,Accessories,Keyboard,11/27/2024,O1018,2,$45,$90,P207 P210,N/A,No,Online,No,3.9,$900,No,
C019,Business,$11300,P303,Electronics,Server Rack,11/28/2024,O1019,1,$1200,$1200,P301 P305,P406,Yes,In-Store,Yes,4.9,$9000,Yes,
C020,Individual,$900,P210,Home Appliances,Vacuum Cleaner,11/29/2024,O1020,1,$90,$90,P208,N/A,No,Mobile App,No,4.1,$850,No,
